yearID,teamID,playerID,first,last,games
2022,SFN,dovalca01,2022-04-08,2022-10-02,68
2022,CIN,dowdyky01,2022-09-13,2022-09-17,2
2022,BOS,downsje01,2022-06-22,2022-07-29,14
2022,KCA,doziehu01,2022-04-07,2022-10-03,129
2022,CIN,drurybr01,2022-04-07,2022-08-01,92
2022,SDN,drurybr01,2022-08-03,2022-10-05,46
2022,CIN,duartda01,2022-04-08,2022-04-16,3
2022,SFN,dubonma01,2022-04-08,2022-05-13,21
2022,HOU,dubonma01,2022-05-15,2022-10-05,83
2022,ANA,duffyma01,2022-04-07,2022-10-05,77
2022,MIN,duffety01,2022-04-09,2022-08-04,40
2022,TBA,duggero01,2022-05-01,2022-05-01,1
2022,CIN,duggero01,2022-05-07,2022-08-05,3
2022,SFN,duggast01,2022-04-08,2022-04-21,12
2022,TEX,duggast01,2022-06-26,2022-07-12,8
2022,ANA,duggast01,2022-08-08,2022-08-17,9
2022,MIA,dunanjo01,2022-05-07,2022-05-24,3
2022,TEX,dunnida01,2022-04-09,2022-09-21,29
2022,CIN,dunnju01,2022-08-08,2022-09-11,7
2022,TEX,duranez01,2022-06-04,2022-09-07,58
2022,BOS,duranja01,2022-05-06,2022-09-30,58
2022,MIN,duranjh01,2022-04-08,2022-09-27,57
2022,PHI,duronni01,2022-07-13,2022-07-13,1
2022,ATL,duvalad01,2022-04-07,2022-07-23,86
2022,KCA,eatonna01,2022-07-14,2022-10-05,44
2022,SLN,edmanto01,2022-04-07,2022-10-05,153
2022,WAS,edwarca01,2022-05-10,2022-10-04,57
2022,CHN,effrosc01,2022-04-09,2022-07-29,47
2022,NYA,effrosc01,2022-08-02,2022-10-03,13
2022,PHI,eflinza01,2022-04-10,2022-10-03,20
2022,PIT,eickhje01,2022-06-22,2022-06-22,1
2022,ATL,elderbr01,2022-04-12,2022-10-03,10
2022,SEA,eliasro01,2022-05-16,2022-06-19,7
2022,BAL,ellisch01,2022-04-19,2022-04-24,2
2022,ARI,ellisdr01,2022-04-07,2022-05-24,6
2022,SEA,ellisdr01,2022-06-26,2022-06-26,1
2022,MIA,encarje01,2022-06-19,2022-09-25,23
2022,CHA,engelad01,2022-04-09,2022-10-05,119
2022,BOS,eovalna01,2022-04-08,2022-10-04,20
2022,LAN,erlinro01,2022-05-08,2022-05-09,2
